link,from_columnㄷ,reason,frequency
shop-pingon.com,경찰청,사기,1
www.coupang-wshopping.com,경찰청,사기,1
LOTTEONZONE.COM,경찰청,사기,1
LOTTE-ON.SHOP,경찰청,사기,1
ronielmall.com,경찰청,사기,1
cosmosshop.net,경찰청,사기,1
kstore-m.com,경찰청,사기,1
day-mall.com,경찰청,사기,1
sellerons.com,경찰청,사기,1
happyshopmalls.com,경찰청,사기,1
farasolshop.com,경찰청,사기,1
daily-shopmall.com,경찰청,사기,1
eatsmole.com,경찰청,사기,1
thenest-shop.com,경찰청,사기,1
mudesigngold.com,경찰청,사기,1
herringbones.net,경찰청,사기,1
tory-mall.net,경찰청,사기,1
ga-shop8.com,경찰청,사기,1
w-story.shop,경찰청,사기,1
winzshop.com,경찰청,사기,1
store-s.net,경찰청,사기,1
specmall.com,경찰청,사기,1
yian-c.com,경찰청,사기,1
hitmall247.com,경찰청,사기,1
donaria-mall.com,경찰청,사기,1
curiy-market.shop,경찰청,사기,1
kurly-market.shop,경찰청,사기,1
sn-market.com,경찰청,사기,1
DNWMALL.COM,경찰청,사기,1
JOB.DNWMALL.COM,경찰청,사기,1
pureummarket.net,경찰청,사기,1
timesmarket.net,경찰청,사기,1
sp-chart.com,경찰청,사기,1
sy-mall.shop,경찰청,사기,1
www.daesung-mall.com,경찰청,사기,1
www.idoutside.com,경찰청,사기,1
www.replemk1.com,경찰청,사기,1
www.replemk2.com,경찰청,사기,1
smpa.go.kr,경찰청,사기,1
homeIndex.do,경찰청,사기,1
LGPOINT.SHOP,경찰청,사기,1
www.objettoday.com,경찰청,사기,1
OK-MALLSHOP.COM,경찰청,사기,1
LAURENHISHOP.COM,경찰청,사기,1
ELAND365.COM,경찰청,사기,1
FLEX-MALL.SHOP,경찰청,사기,1
ETLANDONLINEMALL.COM,경찰청,사기,1
DOMEKKOK-STF.STORE,경찰청,사기,1
DOMEKKOK-CVC.STORE,경찰청,사기,1
COS-MALL.SHOP,경찰청,사기,1
LANOBI-MALLON.SHOP,경찰청,사기,1
SHOPPINGOOM.COM,경찰청,사기,1
SHOPPINGOON.COM,경찰청,사기,1
WWW.JUYOUSO.COM,경찰청,사기,1
ASTERZON.SHOP,경찰청,사기,1
SSG-MALL.KR,경찰청,사기,1
DH-STORE.ONLINE,경찰청,사기,1
NORITER-ONLINE.SHOP,경찰청,사기,1
INFOBELLSHOP.NET,경찰청,사기,1
INFOBELL-MALL.COM,경찰청,사기,1
HMALL-ONLINE.STORE,경찰청,사기,1
WSHOPPIING.COM,경찰청,사기,1
WSHOPPING.NET,경찰청,사기,1
W-MARTKET.NET,경찰청,사기,1
W-SHOPPING.NET,경찰청,사기,1
HA-YOGIYO.COM,경찰청,사기,1
BNCONLINEMAL.COM,경찰청,사기,1
